american-graffiti,george-lucas-1,richard-dreyfuss ron-howard paul-le-mat charles-martin-smith candy-clark mackenzie-phillips cindy-williams wolfman-jack bo-hopkins harrison-ford manuel-padilla-jr beau-gentry jim-bohan jana-bellan deby-celiz lynne-marie-stewart-1 terence-mcgovern kathleen-quinlan timothy-f-crowley scott-beach john-brent-1 gordon-analla john-bracci jody-carlson-1 del-close chuck-dorsett stephen-knox joe-miksak george-meyer-2 james-cranna johnny-weissmuller-jr william-niven al-nalbandian bob-pasaak christopher-pray susan-richardson fred-ross jan-dunn-3 charlie-murphy ed-greenberg lisa-herman mark-anger kay-lenz caprice-schmidt joe-spano debralee-scott ron-vincent donna-wehr cam-whitman jan-wilson-1 suzanne-somers
an-american-in-paris,vincente-minnelli,gene-kelly leslie-caron oscar-levant georges-guetary nina-foch anna-q-nilsson john-eldredge hayden-rorke dudley-field-malone ann-codee eugene-borden martha-bamattre madge-blake noel-neill andree-guy claude-guy
american-psycho,mary-harron,christian-bale willem-dafoe jared-leto josh-lucas samantha-mathis matt-ross bill-sage chloe-sevigny cara-seymour justin-theroux guinevere-turner reese-witherspoon krista-sutton reg-e-cathey anthony-lemke stephen-bogaert monika-meier blair-williams-1 marie-dame kelley-harron patricia-gage landy-cannon park-bench catherine-black margaret-ma peter-tufford-kennedy mark-pawson jessica-lau lilette-wiens glen-marc-silot charlotte-hunter-1 kiki-buttignol joyce-r-korbin reuben-thompson bryan-renfro ross-gibby christina-mckay alan-mccullough connie-chen brett-alexander-davidson peter-loung joseph-oliveira leanne-poirier-greenfield somaya-reece kate-steen
amour,michael-haneke,jean-louis-trintignant emmanuelle-riva-1 isabelle-huppert william-shimell ramon-agirre rita-blanco carole-franck dinara-drukarova laurent-capelluto jean-michel-monroc damien-jouillerot walid-afkir
analyze-this,harold-ramis,robert-de-niro billy-crystal lisa-kudrow chazz-palminteri joe-viterelli molly-shannon kyle-sabihy frank-pietrangolare ron-madoff leo-rossi donna-marie-recco kresh-novakovic bart-tangredi michael-straka joseph-rigano max-casella bill-macy jimmie-ray-weeks tony-darrow gene-ruffini-1 richard-c-castellano frank-aquilino
analyze-that,harold-ramis,robert-de-niro billy-crystal lisa-kudrow joe-viterelli cathy-moriarty donna-marie-recco kyle-sabihy frank-pietrangolare jerome-le-page annika-pergament phil-campanella charles-a-gargano paul-herman joseph-bono joseph-p-reidy frank-aquilino william-demeo anthony-lapaglia
anchorman-the-legend-of-ron-burgundy,adam-mckay,will-ferrell christina-applegate paul-rudd david-koechner steve-carell fred-willard chris-parnell vince-vaughn luke-wilson ben-stiller kathryn-hahn seth-rogen danny-trejo ian-roberts darcy-donavan judd-apatow jack-black-1 missi-pyle tim-robbins paul-f-tompkins-1 holmes-osborne
anchorman-2-the-legend-continues,adam-mckay,will-ferrell steve-carell paul-rudd david-koechner christina-applegate dylan-baker meagan-good judah-nelson james-marsden greg-kinnear josh-lawson kristen-wiig fred-willard chris-parnell harrison-ford bill-kurtis june-diane-raphael tom-clark-5 drake-1 eliza-coupe brian-f-durkin zoe-myers clark-sarullo matthew-cornwell dane-davenport-1 dan-triandiflou david-silverman jayson-warner-smith david-dwyer-1 courtney-patterson kelly-tippens jon-hayden ron-prather gary-weeks l-warren-young darlene-french e-roger-mitchell michael-menapace patricia-french paula-pell wilbur-fitzgerald karen-beyer brian-steele sacha-baron-cohen marion-cotillard will-smith kirsten-dunst brian-patrick-butler jim-carrey steve-coulter tina-fey kimberly-dawn-guerrero liam-neeson amy-poehler c-3 richard-saxton lori-beth-sikes-1 sarah-e-spencer vince-vaughn kanye-west nickolas-wolf
angels-demons,ron-howard,tom-hanks ewan-mcgregor ayelet-zurer stellan-skarsgard pierfrancesco-favino armin-mueller-stahl thure-lindhardt david-pasquesi cosimo-fusco victor-alfieri franklin-amobi curt-lowens bob-yerkes nikolaj-lie-kaas carmen-argenziano rance-howard gino-conforti elya-baskin thomas-morris-1 august-wittgenstein ben-bela-bohm jeffrey-boehm steve-kehela ursula-brooks rashmi yan-cui fritz-michel maria-cristina-heller pascal-petardi kristof-konrad masasa-moyo ed-francis-martin cheryl-howard endre-hules norbert-weisser shelby-zemanek justin-giddings anna-katarina marc-fiorini steve-franken jonas-fisch howard-mungo silvano-marchetto paul-schmitz richard-rosetti xavier-j-nathan yesenia-adame todd-schneider roberto-donati-1 rocco-passafaro emanuele-secci vanna-salviati raffi-di-blasio felipe-torres-urso
anger-management,peter-segal,adam-sandler jack-nicholson luis-guzman-1 marisa-tomei january-jones krista-allen kurt-fuller woody-harrelson john-turturro kevin-nealon allen-covert derek-jeter john-mcenroe lynne-thigpen jonathan-loughran conrad-goode gina-gallego nancy-carell-1 rudolph-giuliani-1 lori-heuring kevin-dunigan paul-renteria dawn-drake heather-graham zack-abramowitz c-3 harry-dean-stanton
