the-hobbit-the-desolation-of-smaug,peter-jackson,ian-mckellen martin-freeman-1 richard-armitage benedict-cumberbatch evangeline-lilly lee-pace luke-evans stephen-fry ken-stott james-nesbitt orlando-bloom mikael-persbrandt sylvester-mccoy aidan-turner dean-ogorman graham-mctavish adam-brown-1 peter-hambleton john-callen mark-hadlow jed-brophy william-kircher stephen-hunter-1 ryan-gage john-bell manu-bennett lawrence-makoare cate-blanchett peggy-nesbitt mary-nesbitt ben-mitchell stephen-ure-1 craig-hall robin-kerr eli-kent simon-london brian-sergent peter-vere-jones mark-mitchinson kelly-kilgour sarah-peirse nick-blake dallas-barnett matt-smith-15 katie-jackson-2 richard-whiteside greg-ellis ray-henwood tim-gordon-1 jabez-olssen stephen-colbert evelyn-mcgee-colbert peter-colbert john-colbert norman-kali carter-nixon zane-weiner allan-smith terry-notary jack-binding terry-binding
hocus-pocus,kenny-ortega,bette-midler sarah-jessica-parker kathy-najimy omri-katz thora-birch vinessa-shaw amanda-shepherd larry-bagby tobias-jelinek stephanie-faracy charles-rocket doug-jones karyn-malchus sean-murray-1 steve-voboril norbert-weisser kathleen-freeman da-pauley ezra-sutton don-yesso michael-mcgrady leigh-hamilton devon-reeves joseph-malone jordan-redmond frank-del-boccio jeff-neubauer teda-bracci peggy-holmes jason-marsden garry-marshall penny-marshall
the-holiday,nancy-meyers,kate-winslet cameron-diaz jude-law jack-black-1 eli-wallach edward-burns rufus-sewell miffy-englefield emma-pritchard sarah-parish shannyn-sossamon bill-macy shelley-berman kathryn-hahn john-krasinski odette-annable alex-oloughlin dustin-hoffman lydia-blanco-garza james-franco lindsay-lohan dani-lennon hal-douglas steven-quale
christmas-in-connecticut,peter-godfrey-1,barbara-stanwyck dennis-morgan sydney-greenstreet reginald-gardiner sz-sakall robert-shayne una-oconnor frank-jenks joyce-compton dick-elliott jody-gilbert lillian-bronson walter-baldwin marie-blake-1
a-christmas-carol,edwin-l-marin,reginald-owen gene-lockhart terry-kilburn barry-mackay lynne-carver kathleen-lockhart leo-g-carroll ann-rutherford lionel-braham ronald-sinclair bunny-beatty charles-peck june-lockhart john-oday charles-coleman matthew-boulton forrester-harvey billy-bevan darcy-corrigan harry-cording william-ripley-dorr lumsden-hare halliwell-hobbes olaf-hytten i-stanford-jolley colin-kenny crauford-kent delmar-watson
boys-town,norman-taurog,spencer-tracy mickey-rooney henry-hull leslie-fenton gene-reynolds-1 edward-norris addison-richards minor-watson jonathan-hale bobs-watson martin-spellman-1 mickey-rentschler frankie-thomas jimmy-butler sidney-miller robert-emmett-keane victor-kilian arthur-aylesworth king-baggot-1 barbara-bedford george-cooper-1 nell-craig john-hamilton-2 claire-mcdowell jay-novello phillip-terry william-worthington john-wray
the-singing-nun,henry-koster-1,debbie-reynolds ricardo-montalban greer-garson agnes-moorehead chad-everett katharine-ross ed-sullivan
home-alone,chris-columbus,macaulay-culkin joe-pesci daniel-stern john-heard catherine-ohara roberts-blossom devin-ratray mike-maronna hillary-wolf angela-goethals gerry-bamman terrie-snell daiana-campeanu kieran-culkin kristin-minter john-candy ralph-foody-1 michael-guido larry-hankin ken-hudson-campbell hope-davis billie-bird bill-erwin jeffrey-wiseman virginia-smith ray-toler clarke-devereux d-danny-warhol-1 matt-doherty jedidiah-cohen senta-moses anna-slotky gerry-becker victor-cole porscha-radcliffe brittany-radcliffe peter-siragusa alan-wilder-1 dianne-b-shaw james-ryan-1 mark-beltzman ann-whitney jim-ortlieb monica-devereux lynn-mansbach tracy-j-connor sandra-macat richard-j-firfer kate-johnson michael-hansen peter-pantaleo jean-claude-sciore edward-bruzan frank-cernugel eddie-korosa robert-okrzesik leo-perion vince-waidzulis john-hardy-3
the-hot-chick,tom-brady,rob-schneider-1 rachel-mcadams anna-faris matthew-lawrence-1 eric-christian-olsen robert-davi melora-hardin alexandra-holden maritza-murray fay-hauser jodi-long tia-mowry tamera-mowry lee-garlington angie-stone matt-weinberg leila-kenzle michelle-branch michael-okeefe-1 megan-kuhlmann ashlee-simpson maria-elena-laas adam-sandler katie-lohmann scott-dolezal rebecca-lin berglind-icey louis-lombardi
how-to-deal,clare-kilner,mandy-moore trent-ford allison-janney alexandra-holden dylan-baker nina-foch mary-catherine-garrison connie-ray mackenzie-astin charlotte-sullivan-1 ray-kahnert andrew-gillies john-white-1 laura-catalano
how-to-lose-a-guy-in-10-days,donald-petrie,kate-hudson matthew-mcconaughey kathryn-hahn annie-parisse adam-goldberg thomas-lennon-2 michael-michele shalom-harlow robert-klein bebe-neuwirth samantha-quan justin-peroff celia-weston james-murtaugh rebecca-harris archie-macgregor john-diresta scott-benes zachary-benes william-hill-1 georgia-craig-1 liliane-montevecchi james-mainprize tony-longo warner-wolf doug-murray natalie-brown andrew-moodie david-macniven-1 ross-gallo-1 gina-sorell ingrid-hart marvin-hamlisch
the-hustler,robert-rossen,paul-newman jackie-gleason piper-laurie george-c-scott myron-mccormick murray-hamilton michael-constantine stefan-gierasch jake-lamotta vincent-gardenia gordon-b-clarke clifford-a-pellow alexander-rose carolyn-coates carl-york
i-am-legend,francis-lawrence,will-smith alice-braga charlie-tahan salli-richardson-whitfield willow-smith emma-thompson darrell-foster joanna-numata dash-mihok samuel-glen pedro-mojica marin-ireland alexander-dipersia raul-torres-2 april-grace james-mccauley anthony-c-mazza steve-cirbus calista-hill gabriella-hill madeline-hill adhi-sharma tyree-michael-simpson blake-lange abraham-sparrow pat-fraley caitlin-mchugh deborah-collins mike-patton katherine-brook vince-cupone lynna-davis anika-ellis john-grady moses-harris-jr kennis-hawkins marc-inniss eric-jenkins-1 reed-kelly grasan-kingsberry drew-leary asa-liebmann-1 deborah-lohse jon-paul-mateo ian-mclaughlin luke-miller courtney-munch kimberly-shannon-murphy okwui-okpokwasili erin-owen victor-paguia paradox-pollack will-rawls william-schultz-1 hollie-k-seidel hannah-sim eric-spear-1 mark-steger charlie-sutton-1 david-hamilton-thomson anthony-vincent greg-wattkis
i-huckabees,david-o-russell,jason-schwartzman isabelle-huppert dustin-hoffman lily-tomlin jude-law mark-wahlberg naomi-watts isla-fisher sydney-zarp jonah-hill darlene-hunt kevin-dunn jean-smart talia-shire tippi-hedren bob-gunton said-taghmaoui richard-jenkins shania-twain john-rothman-2 anthony-ace-thomas
i-robot,alex-proyas,will-smith bridget-moynahan alan-tudyk james-cromwell bruce-greenwood shia-labeouf chi-mcbride jerry-wasserman peter-shinkoda terry-chen david-haysom scott-heindl adrian-ricard fiona-hogan sharon-wilkins craig-march darren-moore emily-tennant tiffany-lyndall-knight aaron-douglas-1 angela-moore-1
ice-age,chris-wedge,ray-romano john-leguizamo denis-leary goran-visnjic jack-black-1 cedric-the-entertainer stephen-root diedrich-bader alan-tudyk lorri-bagley jane-krakowski peter-ackerman pj-benjamin josh-hamilton chris-wedge denny-dillon mitzi-mccall tara-strong darin-de-paul dann-fink
identity,james-mangold,john-cusack ray-liotta amanda-peet john-hawkes alfred-molina clea-duvall john-c-mcginley william-lee-scott jake-busey rebecca-de-mornay carmen-argenziano marshall-bell leila-kenzle matt-letscher bret-loehr holmes-osborne frederick-coffin joe-hart michael-hirsch terence-bernie-hines stuart-m-besser pruitt-taylor-vince
the-imaginarium-of-doctor-parnassus,terry-gilliam,christopher-plummer heath-ledger lily-cole tom-waits andrew-garfield johnny-depp jude-law colin-farrell verne-troyer gwendoline-christie richard-riddell katie-lyons richard-shanks bruce-crawford-2 johnny-harris-1 cassandra-sawtell paloma-faith montserrat-lombard craig-fraser mark-benton mackenzie-gray michael-bean bart-anderson maggie-steed peter-stormare
im-not-there,todd-haynes,cate-blanchett heath-ledger julianne-moore ben-whishaw charlotte-gainsbourg michelle-williams christian-bale marcus-carl-franklin richard-gere david-cross kris-kristofferson don-francks kim-roberts-1 peter-friedman-2 kim-gordon bruce-greenwood alison-folland jim-james
the-imitation-game,morten-tyldum,benedict-cumberbatch keira-knightley matthew-goode rory-kinnear allen-leech matthew-beard charles-dance mark-strong james-northcote tom-goodman-hill steven-waddington ilan-goodman jack-tarlton alex-lawther jack-bannon-1 tuppence-middleton dominik-charman james-g-nunn charlie-manton david-charkham victoria-wicks-1 andrew-havill laurence-kennedy tim-van-eyken viv-weatherall miranda-bell tim-steed bartosz-wandrykow lese-asquith-coe hayley-joanne-bacon ingrid-benussi nicholas-blatt jack-brash ancuta-breaban alex-corbet-burcher grace-calder richard-campbell-1 daniel-chapple lisa-colquhoun alexander-cooper leigh-dent esther-eden sam-exley ben-farrow mike-firth hannah-flynn james-gard guna-gultniece benjamin-hardie oscar-hatton luke-hope vera-horton vincent-idearson denis-koroshko debra-leigh-taylor stuart-matthews amber-rose-may samantha-moran adam-nowell joseph-oliveira harry-leonard-parkinson john-redmann david-g-robinson alice-tapfield mark-underwood nicola-jayne-wells josh-wichard
im-still-here,casey-affleck,joaquin-phoenix bruce-willis danny-devito jack-nicholson ben-stiller sean-combs casey-affleck antony-langdon yasiin-bey edward-james-olmos eddie-rouse jamie-foxx billy-crystal danny-glover jerry-penacoli hugh-grant natalie-portman
inception,christopher-nolan,leonardo-dicaprio joseph-gordon-levitt ellen-page tom-hardy ken-watanabe cillian-murphy marion-cotillard michael-caine dileep-rao tom-berenger pete-postlethwaite lukas-haas talulah-riley tohoru-masamune taylor-geare claire-geare johnathan-geare-1 yuji-okumoto earl-cameron ryan-hayward-1 miranda-nolan-1 russ-fega tim-kelleher coralie-dedykere-1 silvie-laguna virgile-bramly nicolas-clerc-1 jean-michel-dagory-1 marc-raducci tai-li-lee-1 magnus-nolan-1 helena-cullinan-1 mark-fleischmann-1 shelley-lang-1 adam-cole-2 jack-murray-1 kraig-thornber-1 angela-nathenson-1 natasha-beaumont carl-gilliard jill-maddrell-1 alex-lombard nicole-pulliam peter-basham michael-gaston felix-scott andrew-pleavin lisa-reynolds-2 jason-tendell-1 jack-gilroy-1 shannon-welles-1
raiders-of-the-lost-ark,steven-spielberg,harrison-ford karen-allen paul-freeman john-rhys-davies ronald-lacey wolf-kahler anthony-higgins denholm-elliott alfred-molina vic-tablian don-fellows-1 william-hootkins-1 george-harris fred-sorenson anthony-chinn-1 eddie-tagoe bill-reimbold patrick-durkin matthew-scurfield malcolm-weaver sonny-caldinez pat-roach christopher-frederick-1 tutte-lemkow-1 ishaq-bux-1 kiran-shah souad-messaoudi terry-richards-2 steve-hanson frank-marshall martin-kreidt john-rees tony-vogel ted-grossman vic-armstrong peter-diamond nick-gillard romo-gorrara rick-lester rocky-taylor reg-harding harry-fielder barrie-holland billy-horrigan terry-leonard-1 sergio-mioni dennis-muren glenn-randall-jr michael-sheard frank-welker
inglourious-basterds,quentin-tarantino,brad-pitt melanie-laurent christoph-waltz eli-roth michael-fassbender diane-kruger daniel-bruhl til-schweiger gedeon-burkhard jacky-ido b-j-novak omar-doom august-diehl denis-menochet sylvester-groth martin-wuttke mike-myers julie-dreyfus lea-seydoux richard-sammel alexander-fehling rod-taylor samm-levine paul-rust michael-bacall arndt-schwering-sohnrey petra-hartung volker-michalowski ken-duken christian-berkel tina-rodriguez lena-friedrich ludger-pistor jana-pallaske wolfgang-lindner michael-kranz-1 rainer-bock andre-penvern sebastian-hulk buddy-joe-hooker sonke-mohring carlos-fidel hilmar-eichhorn patrick-elias eva-lobau salvadore-brandt jasper-linnewedel wilfried-hochholdinger olivier-girard michael-scheel leo-plank andreas-tietz bo-svenson enzo-g-castellari christian-bruckner samuel-l-jackson bela-b-1 noemi-besedes helene-cardona jake-garber sabrina-rattey alex-boden guido-fohrweier harvey-keitel andrew-napier-1 gregory-nicotero quentin-tarantino vitus-wieser bea-marie-ruck daniela-schwerdt
inherent-vice,paul-thomas-anderson,joaquin-phoenix josh-brolin owen-wilson katherine-waterston reese-witherspoon benicio-del-toro jena-malone maya-rudolph martin-short martin-donovan-4 sasha-pieterse eric-roberts michael-kenneth-williams joanna-newsom-1 jeannie-berlin serena-scott-thomas hong-chau christopher-allen-nelson sam-jaeger timothy-simons jillian-bell jordan-christian-hearn taylor-bonin martin-dew shannon-collis catherine-haena-kim vivienne-khaledi yvette-yates andrew-simpson-1 joe-dioletto jack-kelly belladonna elaine-tan wilson-bethel anders-holm emmet-unverzagt erica-sullivan eva-fisher jackie-michele-johnson katie-schwartz charley-morgan keith-jardine delaina-mitchell michael-cotterman peter-mcrobbie shannon-c-sullivan samantha-lemole madison-leisle christian-williams-1 jefferson-mays liam-van-joosten matt-doyle-2 ashleigh-biller david-prak amy-ferguson emma-dumont scott-aschenbrenner christina-bobrowsky peter-bonilla-1 gregoer-boru marianne-bourg toyia-brown stu-brumbaugh seth-cash laura-lyon-rossi elizabeth-colunga emma-cooper-2 nick-de-graffenreid adam-dorsey ken-edling jenna-emery al-function brandy-futch lauren-goncher ellen-ho jessica-huss raiden-integra dallas-james christopher-karl-johnson laura-kranz timothy-lally adeana-lane kira-legg tracy-ann-lisa blue-lolan dakota-lupo jacob-lyman amanda-maddox emilee-madrak kirstin-masters zach-mcmahon chelsea-otoole shaun-parker rodney-j-richards philip-roosevelt osamu-saito joel-shock matthew-skomo chantal-thuy diana-elizabeth-torres
inherit-the-wind,stanley-kramer,spencer-tracy fredric-march-1 gene-kelly dick-york donna-anderson harry-morgan claude-akins elliott-reid paul-hartman-1 philip-coolidge jimmy-boyd noah-beery-jr norman-fell hope-summers ray-teal renee-godfrey-1 florence-eldridge leon-alton frank-baker ralph-bucko sam-harris-3 shep-houghton hans-moebus snub-pollard robert-robinson eddie-baker adolph-faylauer bob-perry waclaw-rekwart stephen-soldi rudy-sooter gail-bonney jack-daly lester-dorr donald-elson colin-kenny frank-mills-2 joe-ploski scott-seaton bert-stevens harry-tenbrook david-fresco stuart-hall joseph-hamilton earle-hodgins wendell-holmes thomas-martin-1 harp-mcguire robert-osterloh leoda-richards hal-taggart charles-wagenheim justice-watson will-wright duke-fishman dick-cherney hank-mann brandon-beach
in-her-shoes,curtis-hanson,cameron-diaz anson-mount toni-collette richard-burgi candice-azzara brooke-smith john-mastrangelo-sr emilio-mignucci mark-feuerstein terrance-christopher-jones nicole-randall-johnson kateri-demartino brandon-karrer jon-ingrassia jason-peck mary-pat-green gene-bozzi carlease-burke hamlet ken-howard eric-balfour andy-powers-1 karen-vicks carol-florence william-spangler maureen-torsney-weir chihiro-kawamura kevin-anthony salih-qawi jacquin-deleon earnie-philps bill-polk marcia-jean-kurtz alan-blumenfeld jackie-geary jill-saunders mel-alpern cebert-hall ayana-mingo asabi-rich carole-robinson nicola-shirley april-stewart shirley-maclaine francine-beers jerry-adler ivana-milicevic john-draper-2 len-derrico ira-friedman bill-miller-4 george-randell mario-sandrelli ray-sullivan ray-wiersema norman-lloyd dorothy-kelly benton-jennings marilyn-raphael fran-gellatly joan-turner jeri-jordan dan-fitzgerald ruth-byler david-shatraw shirley-beehner sophie-klein marie-malocco betty-ricciardelli florence-ruprecht mike-schmidt-2 kenneth-beehner bob-koehler robert-miller-3 george-rosenberg fritz-rulli dale-schwant jay-bressner jack-brown maxine-brown madeline-s-bruni rene-godin sandye-menduke tony-russo maureen-solomon
inside-out-2015,pete-docter,amy-poehler phyllis-smith richard-kind bill-hader lewis-black mindy-kaling kaitlyn-dias diane-lane kyle-maclachlan paula-poundstone bobby-moynihan paula-pell dave-goelz frank-oz josh-cooley flea john-ratzenberger carlos-alazraqui peter-sagal rashida-jones lori-alan gregg-berger aurora-blue veronika-bonell lola-cooley john-cygan dani-dare andrea-datzman ronnie-del-carmen-1 pete-docter keith-ferguson tony-fucile-1 mary-gibbs randy-hahn carter-hastings jacob-hopkins emma-hudak evan-hudak dara-iruka molly-jackson daniella-jones sophia-lee-karadi elissa-knight erik-langley dawnn-lewis sherry-lynn tony-maki mona-marshall laraine-newman bret-brook-parker-1 nick-pitera phil-proctor-1 murray-pearl-schaeffer patrick-seitz-1 paris-van-dyke james-kevin-ward jim-ward-1 lennon-wynn dashell-zamm bob-bergen teresa-ganzel jess-harnell danny-mann mickie-mcgowan jan-rabson
interiors,woody-allen,diane-keaton kristin-griffith mary-beth-hurt richard-jordan-1 eg-marshall geraldine-page maureen-stapleton sam-waterston
interstellar,christopher-nolan,matthew-mcconaughey jessica-chastain anne-hathaway michael-caine casey-affleck mackenzie-foy timothee-chalamet bill-irwin matt-damon david-gyasi ellen-burstyn john-lithgow wes-bentley topher-grace david-oyelowo william-devane josh-stewart-1 collette-wolfe leah-cairns russ-fega lena-georgas-1 jeff-hephner elyes-gabel brooke-smith liam-dickinson francis-x-mccarthy andrew-borba flora-nolan william-patrick-brown cici-leah-campbell kristian-van-der-heyden mark-casimir-dyniewicz joseph-oliveira ryan-irving alexander-michael-helisek benjamin-hardy griffen-fraser
the-invention-of-lying,ricky-gervais matthew-robinson-1,ricky-gervais jennifer-garner jonah-hill louis-ck jeffrey-tambor fionnula-flanagan rob-lowe tina-fey stephanie-march ruben-santiago-hudson john-hodgman nate-corddry jimmi-simpson-1 martin-starr jason-bateman christopher-guest philip-seymour-hoffman edward-norton bobby-moynihan stephen-merchant dreama-walker eric-andre cole-jensen john-franchi
the-invisible-man,james-whale,claude-rains gloria-stuart william-harrigan henry-travers una-oconnor forrester-harvey holmes-herbert e-e-clive-1 dudley-digges harry-stubbs donald-stuart merle-tottenham walter-brennan john-carradine dwight-frye mary-gordon crauford-kent paul-kruger monte-montague jack-montgomery charles-morton tom-ricketts jameson-thomas bert-young
the-iron-giant,brad-bird,eli-marienthal vin-diesel jennifer-aniston harry-connick-jr christopher-mcdonald john-mahoney cloris-leachman james-gammon m-emmet-walsh jack-angel bob-bergen mary-kay-bergman michael-bird devon-cole-borisoff rodger-bumpass robert-clotworthy jennifer-darling zack-eginton paul-eiding bill-farmer charles-howerton ollie-johnston sherry-lynn mickie-mcgowan ryan-odonohue phil-proctor-1 frank-thomas-2 patti-tippo brian-tochi
iron-man-2008,jon-favreau,robert-downey-jr terrence-howard jeff-bridges gwyneth-paltrow leslie-bibb shaun-toub faran-tahir-1 clark-gregg bill-smitrovich sayed-badreya paul-bettany jon-favreau peter-billingsley tim-guinee will-lyman tom-morello marco-khan daston-kalili ido-ezra kevin-foster garret-noel eileen-weisinger ahmed-ahmed fahim-fazli gerard-sanders tim-rigby russell-richardson nazanin-boniadi thomas-craig-plumer robert-berkman stacy-stas lauren-scyphers frank-nyi marvin-jordan jim-cramer donna-evans reid-harper summer-kylie-remington ava-rose-williams vladimir-kubr callie-croughwell javan-tahir sahar-bibiyan patrick-oconnell adam-harrington-1 meera-simhan ben-newmark ricki-lander jeannine-kaspar sarah-cahill stan-lee justin-rex zorianna-kit lana-kinnear nicole-lindeblad masha-lund gabrielle-tuite tim-griffin joshua-harto micah-a-hauptman james-bethea samuel-l-jackson jeffrey-ashkin russell-bobbitt vianessa-castanos mike-cochrane crystal-marie-denha mellany-gandara halla rodrick-hersh kristin-j-hooper chris-jalandoni stephen-janousek laura-liguori flavia-manes-rossi anthony-martins robert-mcmurrer james-m-myers america-olivo sylvette-ortiz brett-padelford ajani-perkins chris-reid toi-rose george-f-watson david-zyler nick-w-nicholson elijah-samuel-quesada
iron-man-2,jon-favreau,robert-downey-jr gwyneth-paltrow don-cheadle scarlett-johansson sam-rockwell mickey-rourke samuel-l-jackson clark-gregg john-slattery-1 garry-shandling paul-bettany kate-mara leslie-bibb jon-favreau christiane-amanpour philippe-bergeron james-bethea michael-bruno kate-clark luminita-docan francois-duhamel larry-ellison adam-goldstein-1 tim-guinee eric-l-haney ali-khan evgeniy-lazarev stan-lee isaiah-guyman-martin-iv helena-mattsson anya-monzikova keith-middlebrook margy-moore olivia-munn elon-musk bill-oreilly alejandro-patino davin-ransom karim-saleh brian-schaeffer phillipe-simon jack-white-5 melanie-brown-2 krystal-ellsworth victoria-gracie gina-cantrell renee-herlocker-1 jill-ann-pineda-arnold sandy-colton-1 annika-ihnat jenny-robinson lindsay-dennis jennifer-d-johnson lindsay-rosenberg-1 hannah-douglass brooke-long rachele-brooke-smith nadine-ellis kylette-zamora donessa-alexander martin-andris cassity-atkins gregory-baldi elya-beer ayelet-ben-shahar chris-borden pete-brown-1 basilina-butler john-ceallach-1 katie-cleary ajarae-coleman rick-l-dean timothy-tj-james-driscoll jasmine-dustin mark-casimir-dyniewicz sam-felman caitlin-gallo shakira-vanise-gamble paul-grace james-granville kathryn-henzler jennifer-lynne-johnson mark-kubr cameron-lee jee-yun-lee waymond-lee mathew-lorenceau christopher-maleki richard-markman bryan-mccoy ed-moy delka-nenkova tony-nevada allison-ochmanek nicolas-pajon he-victor-jw-pekarcik-iii erin-pickett olivia-presley steven-james-price kiana-prudhont tanner-alexander-redman tanoai-reed kelly-sarah torin-sixx peter-trenholm-smith grace-stanley doug-swander michael-a-templeton rosa-tyabji peter-sebastian-wrobel maria-zambrana nick-w-nicholson
iron-man-3,shane-black,robert-downey-jr gwyneth-paltrow don-cheadle guy-pearce rebecca-hall jon-favreau ben-kingsley james-badge-dale stephanie-szostak paul-bettany william-sadler dale-dickey ty-simpkins miguel-ferrer wang-xueqi shaun-toub matthew-sterling-nye pat-kiernan josh-elliott megan-henderson thomas-roberts-1 bill-maher-1 joan-rivers george-kotsiopoulos bronte-desposito noah-visconti ashley-hamilton brooke-jayne-taylor kim-dean glenn-foster anthony-reynolds kendrick-cross-1 tom-clark-4 brian-schaeffer john-eddins spencer-garrett rockey-dickey-jr drew-michael-hershner sarah-burkhardt jan-broberg andrew-lauer nate-bynum andrew-lander tom-virtue roy-mccrerey serdar-kalsin demetrois-hodges bobby-tisdale yvonne-zima stan-lee adam-pally james-rackley-1 cullen-moss-1 jake-dewitt rebecca-mader kevin-arnold juan-c-bofill david-buglione adam-lytle paul-andrew-oconnor phil-ortiz gwendalyn-barker steve-wilder luciana-faulhaber kary-musa-1 mike-massa mark-kubr si-fu-eric-oram naomi-parshin aurelia-riley johanna-yunda wesley-thompson jenna-ortega t-c-anyachonkeya chad-kurtz cal-johnson-1 corey-hawkins linden-ashby sarah-farooqui sala-baker kial-butler nick-brandon dan-brown-6 fernando-chien ilram-choi brycen-counts kiante-elam dane-farwell mark-fichera colin-follenweider aja-frary mark-ginther adrian-gonzalez-2 dennis-keiffer-1 samuel-le tara-macken william-morts jade-quon j-c-robaina markos-rounthwaite-1 philip-j-silvera brian-simpson mark-aaron-wagner chris-gethard nick-w-nicholson bridger-zadina mark-ruffalo
the-island-2005,michael-bay,ewan-mcgregor scarlett-johansson djimon-hounsou sean-bean steve-buscemi michael-clarke-duncan ethan-phillips brian-stepanek noa-tishby siobhan-flynn troy-blendell jamie-mcbride kevin-mccorkle gary-nickens kathleen-rose-perkins katy-boyer wendy-haines glenn-morshower shawnee-smith max-baker-1 phil-abrams svetlana-efremova randy-oglesby yvette-nicole-brown taylor-gilbert tim-halligan michael-canavan jimmy-smagula ben-tolpin rich-hutchman-1 gonzalo-menendez olivia-tracey ray-xifo mary-pat-gleason whitney-dylan mitzi-martin shelby-leverington don-creech richard-v-licata chris-ellis eric-stonestreet kenneth-hughes richard-whiten robert-sherman-3 ashley-yegan lewis-dauber eamon-behrens alex-carter kevin-daniels grant-garrison brian-leckner dakota-mitchell martin-papazian phil-somerville ryan-tasz kirk-ward kelvin-han-yee don-michael-paul james-granoff james-hart-1 trent-ford thomas-ely-sage jake-soldera mark-christopher-lawrence
the-italian-job-2003,f-gary-gray,mark-wahlberg charlize-theron edward-norton jason-statham seth-green yasiin-bey donald-sutherland boris-lee-krutonog franky-g gawtti olek-krupa melanie-jayne kobra-devoux oscar-nunez fausto-callegarini stefano-petronelli fabio-scarpa cristiano-bonora tiberio-greco mary-portser gregory-scott-cummins scott-adsit kelly-brook erik-walker jimmy-shubert tammi-cubilette
its-a-mad-mad-mad-mad-world,stanley-kramer,spencer-tracy milton-berle sid-caesar buddy-hackett ethel-merman mickey-rooney dick-shawn phil-silvers terry-thomas jonathan-winters edie-adams dorothy-provine eddie-rochester-anderson jim-backus ben-blue joe-e-brown alan-carney chick-chandler barrie-chase lloyd-corrigan william-demarest selma-diamond andy-devine peter-falk norman-fell paul-ford stan-freberg louise-glenn leo-gorcey sterling-holloway marvin-kaplan edward-everett-horton buster-keaton don-knotts charles-lane-1 mike-mazurki charles-mcgraw cliff-norton zasu-pitts carl-reiner madlyn-rhue roy-roberts arnold-stang nick-stewart moe-howard larry-fine joe-derita sammee-tong-1 jesse-white-1 jimmy-durante jack-benny jerry-lewis doodles-weaver
jack-1996,francis-ford-coppola,robin-williams diane-lane brian-kerwin jennifer-lopez bill-cosby fran-drescher adam-zolotin irwin-corey jurnee-smollett-bell-1 ashlee-lauren mario-yedidia michael-mckean todd-bosley seth-smith-1 don-novello allan-rich
jackie-brown,quentin-tarantino,pam-grier samuel-l-jackson robert-de-niro bridget-fonda michael-keaton robert-forster michael-bowen chris-tucker lisagay-hamilton-1 tom-lister-jr hattie-winston-1 sid-haig aimee-graham ellis-e-williams tangie-ambrose tkeyah-crystal-keymah vanessia-valentino diana-uribe renee-kelly-1 elizabeth-mcinerney colleen-mayne laura-lovelace christine-lydon julia-ervin juliet-long michelle-berube gillian-white candice-briese gary-mann jeffrey-deedrick roy-nesvold herbert-hans-wilmsen mary-ann-schmidt glendon-rich denise-crosby quentin-tarantino
jaws,steven-spielberg,roy-scheider richard-dreyfuss robert-shaw lorraine-gary murray-hamilton jay-mello chris-rebello jeffrey-kramer lee-fierro jeffrey-voorhees carl-gottlieb craig-kingsbury susan-backlinie jonathan-filley belle-mcdonald robert-nevin ted-grossman peter-benchley dorothy-fielding fritzi-jane-courtney david-engelbach joseph-oliveira beverly-powers ayn-ruymen christopher-sands rex-trailer philip-ettington-1 denise-cheshire steven-spielberg
jeff-who-lives-at-home,jay-duplass mark-duplass,jason-segel ed-helms susan-sarandon judy-greer rae-dawn-chong joe-chrest lance-e-nichols deneen-tyler jd-evermore steve-zissis evan-ross benjamin-brant-bickham lee-nguyen tim-j-smith ernest-james david-kency raion-hill zac-cino carol-sutton katie-aselton john-neisler matt-malloy ian-hoch robert-larriviere jesse-moore scotty-whitehurst wally-crowder carol-jean-wells savanna-kinchen eddie-matthews-1 jennifer-lafleur-1 randall-kamm tammi-arender scheryl-w-brown geraldine-glenn emily-d-haley kassidy-ison rahsaana-ison jacquelyn-twodat-jackson joy-kate-lawson laurie-lee-1 lisa-mackel-smith lauren-rae-sullivan cindy-williamson
the-jerk,carl-reiner,steve-martin bernadette-peters catlin-adams mabel-king richard-ward carl-gottlieb dick-anthony-williams bill-macy m-emmet-walsh dick-oneill maurice-evans helena-carroll ren-woods pepe-serna sonny-terry brownie-mcghee jackie-mason carl-reiner
jumanji,joe-johnston,robin-williams jonathan-hyde kirsten-dunst bradley-pierce bonnie-hunt bebe-neuwirth david-alan-grier patricia-clarkson adam-hann-byrd laura-bell-bundy james-handy gillian-barber brandon-obray cyrus-thiedeke gary-joseph-thorup leonard-zola lloyd-berry malcolm-stewart annabel-kershaw darryl-henriques robyn-driscoll peter-bryant sarah-gilson florica-vlad june-lion brenda-lockmuller frederick-richardson jaysen-clough daniel-olsen falko-schilling david-szehi tom-woodruff-jr
juno,jason-reitman,ellen-page michael-cera jennifer-garner jason-bateman allison-janney jk-simmons olivia-thirlby eileen-pedde rainn-wilson daniel-clark darla-fay aman-johal valerie-tian emily-perkins kaaren-de-zilva steven-christopher-parker candice-king sierra-pitkin cut-chemist eve-harlow kirsten-alter-1 emily-tennant ashley-whillans-1 jeff-witzke colin-mcsween peggy-logan cameron-bright joy-galmut wendy-russell robyn-ross
